--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_544 1018 550 122 19 -16 -3 -89 -107
SIM_545 900 429 100 10 6 6 32 11
SIM_546 816 376 75 12 31 4 85 95
SIM_547 738 359 62 7 44 9 102 173
SIM_548 1022 564 132 19 -26 -3 -103 -111
SIM_549 791 398 77 9 29 7 63 120
SIM_550 835 425 81 7 25 9 36 76
SIM_551 1150 609 137 18 -31 -2 -148 -239
SIM_552 861 462 85 6 21 10 -1 50
SIM_553 766 360 63 7 43 9 101 145
SIM_554 883 454 84 7 22 9 7 28
SIM_555 1017 542 140 19 -34 -3 -81 -106
SIM_556 889 403 83 4 23 12 58 22
SIM_557 815 415 81 6 25 10 46 96
SIM_558 909 481 110 13 -4 3 -20 2
SIM_559 1022 518 107 8 -1 8 -57 -111
SIM_560 822 396 73 6 33 10 65 89
SIM_561 879 445 94 12 12 4 16 32
SIM_562 857 467 92 5 14 11 -6 54
SIM_563 891 442 100 13 6 3 19 20
SIM_564 783 364 57 2 49 14 97 128
SIM_565 964 488 101 10 5 6 -27 -53
SIM_566 868 428 72 6 34 10 33 43
SIM_567 837 414 81 4 25 12 47 74
SIM_568 781 387 86 6 20 10 74 130
SIM_569 864 417 107 5 -1 11 44 47
SIM_570 945 477 90 10 16 6 -16 -34
SIM_571 905 479 96 12 10 4 -18 6
SIM_572 763 368 59 6 47 10 93 148
SIM_573 778 390 84 8 22 8 71 133
SIM_574 897 471 96 5 10 11 -10 14
SIM_575 882 458 99 10 7 6 3 29
SIM_576 923 472 106 11 0 5 -11 -12
SIM_577 875 448 87 8 19 8 13 36
SIM_578 1043 524 115 7 -9 9 -63 -132
SIM_579 766 367 67 10 39 6 94 145
SIM_580 1157 626 142 18 -36 -2 -165 -246
SIM_581 962 510 123 17 -17 -1 -49 -51
SIM_582 1060 543 114 15 -8 1 -82 -149
SIM_583 869 418 81 4 25 12 43 42
SIM_584 991 490 96 13 10 3 -29 -80
SIM_585 973 498 107 8 -1 8 -37 -62
SIM_586 809 386 82 12 24 4 75 102
SIM_587 958 486 109 12 -3 4 -25 -47
SIM_588 957 477 95 9 11 7 -16 -46
SIM_589 848 419 86 9 20 7 42 63
SIM_590 871 426 78 8 28 8 35 40
SIM_591 797 371 75 7 31 9 90 114
SIM_592 789 386 72 8 34 8 75 122
SIM_593 918 446 94 7 12 9 15 -7
SIM_594 906 446 102 8 4 8 15 5
SIM_595 854 406 96 5 10 11 55 57
SIM_596 911 434 96 9 10 7 27 0
SIM_597 865 435 112 6 -6 10 26 46
SIM_598 878 453 106 7 0 9 8 33
SIM_599 892 448 101 8 5 8 13 19
SIM_600 849 422 72 5 34 11 39 62
SIM_601 864 441 84 13 22 3 20 47
